[LOG 22/04/2020 - 16:40:44] aaaaaaaaa
[LOG 22/04/2020 - 16:41:46] Starting funcs...
[LOG 22/04/2020 - 16:51:34] Starting funcs...
[LOG 22/04/2020 - 16:52:43] Starting funcs...
[LOG 22/04/2020 - 16:52:43] config.json not found.
[LOG 22/04/2020 - 16:53:59] Starting funcs...
[LOG 22/04/2020 - 16:53:59] config.json not found.
[LOG 22/04/2020 - 16:54:05] Starting funcs...
[LOG 22/04/2020 - 16:54:05] Failed to get BOT cfg.. please edit config.json and try later.
[LOG 22/04/2020 - 16:58:53] Starting funcs...
[LOG 22/04/2020 - 16:58:53] Failed to get BOT cfg.. please edit config.json and try later.
[LOG 22/04/2020 - 17:00:10] Starting funcs...
[LOG 22/04/2020 - 17:00:10] permissions.json not found.
[LOG 22/04/2020 - 17:00:23] Starting funcs...
[LOG 22/04/2020 - 17:00:42] Starting funcs...
[LOG 22/04/2020 - 17:02:16] Starting funcs...
[LOG 22/04/2020 - 17:03:22] Starting funcs...
[LOG 22/04/2020 - 17:03:37] Starting funcs...
